
Anne-Kathrin Klatt,
Anne-Kathrin Schulz,
Anne Lepper,
Anne Leßmeister,
Anneli Mäkelä,
Anne Rabe,
Anne-Sylvie König,
Annette C. Daubner,
Annette Pullen,
Annette Reber,
Annette Schlünz,
Annett Gröschner,
Anno Saul,
Anno Schreier,
Ann Ronell,
Anselm Dalferth,
Antal Váradi,
Anthony Braxton,
Anthony Burgess,
Anthony Loyd,
Anthony McCarten,
Anthony Neilson,
Anthony Shaffer,
Antje Prust,
Antje Siebers,
Antje Thoms,
Antoine Dauvergne,
Antoine de Saint-Exupéry,
Antoine Duhamel,
Antoine-Frédéric Gresnick,
Antoine Houdar de la Motte,
Antoine Rault,
Anton Berman,
Anton Coppola,
Anton d’Antoni,
Anton Hamik,
Antonia Bembo,
Antonin Artaud,
Antonín Dvořák,
Antonin Svoboda,
Antonio Bartolomeo Bruni,
Antonio Bibalo,
Antonio Bioni,
Antonio Cagnoni,
Antonio Caldara,
Antônio Carlos Gomes,
Antonio Cesti,
Antonio de Literes,
Antonio Draghi,
Antonio Gazzoletti,
Antonio Ghislanzoni,
Antonio Giannettini,
Antonio Gómezanda,
Antonio Latella,
Antonio Lotti,
Antonio Marchi,
Antonio Maria Abbatini,
Antonio Maria Lucchini,
Antonio Peregrino Benelli,
Antonio Pigafetta,
Antonio Pollarolo,
Antonio Sacchini,
Antonio Salieri,
Antonio Salvi,
Antonio Sartorio,
Antonio Scontrino,
Antonio Skármeta,
Antonio Somma,
António Teixeira,
Antonio Tozzi,
Antonio Vigano,
Antonio Vivaldi,
Antonio Zaniboni,
Anton Lubchenko,
Anton Prestele,
Anton Schweitzer,
Anton Tschechow,
Anton Ulrich von Braunschweig-Wolfenbüttel,
Antony Hopkins,
Anton Zimmermann,
Antti Tuuri,
Anupama Chandrasekhar,
Aram Chatschaturjan,
Aras Ören,
Argyris Kounadis,
Ariane Mnouchkine,
Ariane Müller,
Ari Benjamin,
Ari Benjamin Meyers,
Aribert Reimann,
Ariel Dorfman,
Aristide Hignard,
Aristophanes,
Armand Lunel,
Armand Marsick,
Armas Launis,
Armin Greder,
Armin Holz,
Armin Jung,
Armin Petras,
Arna Aley,
Arne Christophersen,
Arno Camenisch,
Arno Geiger,
Arnold Bax,
Arnold Cooke,
Arnold Mendelssohn,
Arnold Schönberg,
Arnold Wesker,
Arno Schmidt,
Arno Vetterling,
Arno Waschk,
Arrigo Boito,
Arrigo Pedrollo,
Arthur Adamov,
Arthur Bernède,
Arthur Bliss,
Arthur Freed,
Arthur Honegger,
Arthur Kahane,
Arthur Kusterer,
Arthur Lipschitz,
Arthur Miller,
Arthur Rebner,
Arthur Schnitzler,
Arthur Schwartz,
Arthur Sullivan,
Arthur Wing Pinero,
Arthur Yorinks,
Arturo Berutti,
Arturo Rodas,
Arvo Pärt,
Åsa Ekberg-Kentros,
Asghar Farhadi,
Astor Piazzolla,
Astrid Lindgren,
Astrid Saalbach,
Athol Fugard,
Atli Heimir Sveinsson,
Attila Bartis,
Attilio Ariosti,
