organization;creators;title;directors;premiere
Badisches Staatstheater Karlsruhe;Thomas Zaufke / Peter Lund;Big Money;Peter Lund;2011
Badisches Staatstheater Karlsruhe;Tracy Letts;Eine Familie;Donald Berkenhoff;2011
Badisches Staatstheater Karlsruhe;Ulrich Hub;Über den Wassern;Michael Simon;2011
Badisches Staatstheater Karlsruhe;Wolfgang Rihm / Gottfried von Einem;Monolog / Dantons Tod;Jochem Hochstenbach  / Alexander Schulin;2011
Bayerische Staatsoper;Alban Berg;Lulu;Kirill Petrenko / Dmitri Tcherniakov;2015
Bayerische Staatsoper;Alban Berg;Wozzeck;Kent Nagano / Andreas Kriegenburg;2008
Bayerische Staatsoper;Antonín Dvořák;Rusalka;Tomáš Hanus / Martin Kušej;2010
Bayerische Staatsoper;Arrigo Boito;Mefistofele;Omer Meir Wellber / Roland Schwab;2015
Bayerische Staatsoper;Bernd Zimmermann;Die Soldaten;Kirill Petrenko / Andreas Kriegenburg;2014
Bayerische Staatsoper;Claude Debussy;Pelléas et Mélisande;Constantinos Carydis / Christiane Pohle;2015
Bayerische Staatsoper;Ferruccio Busoni;Doktor Faust;Tomáš Netopil / Nicolas Brieger;2008
Bayerische Staatsoper;Gaetano Donizetti;Lucrezia Borgia;Bertrand de Billy / Christof Loy;2008
Bayerische Staatsoper;Georg Friedrich Händel;Tamerlano;Ivor Bolton / Pierre Audi;2008
Bayerische Staatsoper;Giacomo Puccini;Manon Lescaut;Alain Altinoglu / Hans Neuenfels;2014
Bayerische Staatsoper;Gioachino Rossini;Guillaume Tll;Dan Ettinger / Antú Romero Nunes;2014
Bayerische Staatsoper;Gioachino Rossini;Il Turco in Italia;Maurizio Barbacini / Christof Loy;2007
Bayerische Staatsoper;Giuseppe Verdi;Aida;Daniele Gatti / Christoph Nel;2009
Bayerische Staatsoper;Giuseppe Verdi;La Forza del Destin;Asher Fisch / Martin Kušej;2013
Bayerische Staatsoper;Giuseppe Verdi;L’Orfeo;Ivor Bolton / David Bösch;2014
Bayerische Staatsoper;Giuseppe Verdi;Luisa Miller;Massimo Zanetti / Claus Guth;2007
Bayerische Staatsoper;Giuseppe Verdi;Macbeth;Nicola Luisotti / Martin Kušej;2008
Bayerische Staatsoper;Giuseppe Verdi;Nabucco;Paolo Carignani / Yannis Kokkos;2008
Bayerische Staatsoper;Giuseppe Verdi;Un ballo in maschera;Zubin Mehta / Johannes Erath;2016
Bayerische Staatsoper;Hans Pfitzner;Palästrina;Simone Young / Christian Stückl;2009
Bayerische Staatsoper;Hans Werner Henze;Die Bassariden;Marc Albrecht / Christof Loy;2008
Bayerische Staatsoper;Jacques Fromental Halévy;La Juive;Bertrand de Billy / Calixto Bieito;2016
Bayerische Staatsoper;Jean-Philippe Rameau;Les Indes galantes;Ivor Bolton / Sidi Larbi Cherkaoui;2016
Bayerische Staatsoper;John Adams / Gustav Mahler;Chamber Symphony / Das Lied von der Erde;Lucinda Childs / Kenneth MacMillan;2007
Bayerische Staatsoper;Jules Massenet;Werther;Ivor Bolton / Jürgen Rose;2006
Bayerische Staatsoper;Leoš Janáček;Die Sache Makropulos;Tomáš Hanus / Árpád Schilling;2014
Bayerische Staatsoper;Ludwig van Beethoven;Fidelio;Daniele Gatti / Calixto Bieito;2010
Bayerische Staatsoper;Maurice Ravel / Alexander Zemlinsky;L’enfant et les sortilèges / Der Zwerg;Kent;2011
Bayerische Staatsoper;Miroslav Srnka;South Pole;Kirill Petrenko / Hans Neuenfels;2016
Bayerische Staatsoper;Modest Mussorgski;Chowanschtschina;Kent Nagano / Dmitri Tcherniakov;2007
Bayerische Staatsoper;Olivier Messiaen;Saint François d’Assise;Kent Nagano / Hermann Nitsch;2011
Bayerische Staatsoper;Pjotr Iljitsch Tschaikowski;Eugen Onegin;Kent Nagano / Krzysztof Warlikowski;2007
Bayerische Staatsoper;Richard Strauss;Arabella;Philippe Jordan / Andreas Dresen;2015
Bayerische Staatsoper;Richard Strauss;Ariadne auf Naxos;Kent / Robert Carsen;2008
Bayerische Staatsoper;Richard Strauss;Die Frau ohne Schatten;Kirill Petrenko / Krzystof Warlikowski;2013
Bayerische Staatsoper;Richard Wagner;Der Ring des Nibelungen;Kirill Petrenko / Andreas Kriegenburg;2015
Bayerische Staatsoper;Richard Wagner;Die Mistersinger von Nürnberg;Kirill Petrenko / David Bösch;2016
Bayerische Staatsoper;Richard Wagner;Lohengrin;Kent / Richard Jones;2009
Bayerische Staatsoper;Sergei Prokofjew;Der feurige Engel;Vladimir Jurowski / Barrie Kosky;2015
Bayerische Staatsoper;Unsuk Chin;Alice in Wonderland;Kent Nagano / Achim Freyer;2007
Bayerische Staatsoper;Vincenzo Bellini;I Capuleti e i Montecchi;Yves Abel / Vincent Boussard;2011
Bayerische Staatsoper;Wolfgang Amadeus Mozart;Mitridate, re di Ponto;Ivor Bolton / David Bösch;2011
Bayerische Staatsoper;Wolfgang Rihm / Richard Strauss;Das Gehege / Salome;Kent Nagano / William Friedkin;2006
Boulevard Münster;Cecil Stevens;Heirat oder Scheidung, Liebling?;Klaus-Dieter Köhler;2007
Boulevard Münster;Frank Pinkus;Messe-Diener;Angelika Ober;2007
Boulevard Münster;Gerhart Hauptmann;Suche impotenten Mann fürs Leben;Florian Battermann;2013
Boulevard Münster;Ildikó von Kürthy / Friedrich Dudy;Mondscheintarif;Angelika Ober;2010
Boulevard Münster;Jerry Mayer;Zwei Waagerecht;Natascha Kalmbach;2008
Boulevard Münster;Kerry Renard;Ganze Kerle;Roland Heitz;2008
Boulevard Münster;Lars Albaum / Dietmar Jacobs;Das andalusische Mirakel;Roland Heitz;2010
Boulevard Münster;Loriot;Best of Loriot und Neues;Angelika Ober;2007
Boulevard Münster;Loriot;Loriot – auf ein Neues;Angelika Ober;2010
Boulevard Münster;Marc Camoletti;Boeing Boeing;Roland Heitz;2006
Boulevard Münster;Marc Camoletti;Die Perle Anna;Roland Heitz;2007
Boulevard Münster;Neil Simon;Was ist mit Norman los?;Natascha Kalmbach;2009
Boulevard Münster;Nicolas Barreau / Gunnar Dreßler;Das Lächeln der Frauen;Klaus-Dieter Köhler;2015
Boulevard Münster;Richard Bear;Vermischte Gefühle;Angelika Ober;2006
Boulevard Münster;Sam Bobrick;Ein Mann an der Angel;Angelika Ober;2008
Boulevard Münster;Wolfgang Menge;Ein Herz und eine Seele;Angelika Ober;2008
Boulevard Münster;Wolfgang Menge;Ein Herz und eine Seele;Angelika Ober;2009
Brandenburgische Kulturstiftung Cottbus;Agatha Christie;Die Mausefalle;Bettina Jahnke;2008
Brandenburgische Kulturstiftung Cottbus;Eberhard Streul/ Carl Maria von Weber;Geheimnis der Wolfsschlucht;Hauke Tesch;2008
Brandenburgische Kulturstiftung Cottbus;Giuseppe Verdi;Der Troubadour;Martin Schüler;2008
Brandenburgische Kulturstiftung Cottbus;Hans Christian Andersen;Die kleine Meerjungfrau;Torsten Händler;2007
Brandenburgische Kulturstiftung Cottbus;Johann Wolfgang von Goethe;Faust I;Christoph Schroth;2008
Brandenburgische Kulturstiftung Cottbus;Ödön von Horváth;Kasimir und Karoline;Bettina Jahnke;2008
Brandenburgische Kulturstiftung Cottbus;Paul Burkhard;Das Feuerwerk;Frank Bernard / Bernd Mottl;2006
