organization;creators;title;directors;premiere
Gerhart-Hauptmann-Theater Görlitz-Zittau;Lars von Trier / Patrick Ellsworth;Dancer in the dark;Dorotty Szalma;2016
Gerhart-Hauptmann-Theater Görlitz-Zittau;Leoš Janáček;Jenůfa;Andrea Sanguinetti / Klaus Arauner;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Leo Tolstoi / John von Düffel;Anna Karenina;Matthias Nagatis;2015
Gerhart-Hauptmann-Theater Görlitz-Zittau;Lewis Carroll / Jan Bodinus;Alice im Wunderland;Christine Wipplinger;2013
Gerhart-Hauptmann-Theater Görlitz-Zittau;Lutz Hübner;Gretchen 89ff.;Claudia Gröninger;2015
Gerhart-Hauptmann-Theater Görlitz-Zittau;Lutz Hübner;Salome;Claudia Gröninger;2015
Gerhart-Hauptmann-Theater Görlitz-Zittau;Marc Camoletti;Das perfekte Desaster Dinner;Axel Stöcker;2016
Gerhart-Hauptmann-Theater Görlitz-Zittau;Michael Frayn;Der nackte Wahnsinn;Viktor Nagy;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Ödön von Horváth;Kasimir und Karoline;Barbara und Jürgen Esser;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Oliver Bukowski;Bukowski schreibt…;Christian Papke;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Otfried Preußler / Nina Achminow;Krabat;Patricia Hachtel;2016
Gerhart-Hauptmann-Theater Görlitz-Zittau;Otto Nicolai;Die lustigen Weiber von Windsor;Ulrich Kern / Rebekka Stanzel;2012
Gerhart-Hauptmann-Theater Görlitz / Zittau;Pam Gems;Marlene;Manuel Pujol / Rita Schaller;2011
Gerhart-Hauptmann-Theater Görlitz-Zittau;Paul Abraham;Die Blume von Hawaii;Miloš Krejčí / Klaus Arauner;2007
Gerhart-Hauptmann-Theater Görlitz / Zittau;Peter Lund;Hexe Hilary geht in die Oper;Peter Hanslik;2010
Gerhart-Hauptmann-Theater Görlitz-Zittau;Peter Stone / Jule Styne / Bob Merrill;Sugar – Manche mögen’s heiss;Stanislaw Moša;2013
Gerhart-Hauptmann-Theater Görlitz-Zittau;Pierre Carlet de Marivaux;Das Spiel von Liebe und Zufall;Stefan Wolfram;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Ralph Benatzky;Im weißen Rößl;Manuel Pujol / Sabine Sterken;2011
Gerhart-Hauptmann-Theater Görlitz-Zittau;Richard Wagner;Die Walküre;Sebastian Ritschel;2007
Gerhart-Hauptmann-Theater Görlitz-Zittau;Rudolf Herfurtner;Geheime Freunde;Piotr Jȩdrzejas;2015
Gerhart-Hauptmann-Theater Görlitz-Zittau;Sebastian Ripprich;X-ploring Insu Pu;Ronny Scholz;2013
Gerhart-Hauptmann-Theater Görlitz-Zittau;Stefan Sieh;Beziehungsweisen;Claudia Gröninger;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Stephen Sondheim;Into the Woods;Sebastian Ritschel;2016
Gerhart-Hauptmann-Theater Görlitz-Zittau;Stephen Sondheim;Sweeney Todd;Ulrich Kern / Sebastian Ritschel;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Terrence McNally;Meisterklasse;Michael Sturm;2014
Gerhart-Hauptmann-Theater Görlitz-Zittau;Umberto Eco;Der Name der Rose;Dan Pelleg / Marko E. Weigert;2016
Gerhart-Hauptmann-Theater Görlitz-Zittau;Witold Gombrowicz;Yvonne, Prinzessin von Burgund;Dorotty Szalma;2013
Gerhart-Hauptmann-Theater Görlitz-Zittau;Wolfgang Herrndorf;Tschick;Ronny Scholz;2015
Hessisches Landestheater Marburg;Anja Hilling;Sinn – Theater in der Finsternis;Björn SC Deigner;2014
Hessisches Landestheater Marburg;Antje Prust;50 Ways to Love Your Monster;Antje Prust;2011
Hessisches Landestheater Marburg;Aristophanes;Plutos;Hans-Jochen Menzel;2014
Hessisches Landestheater Marburg;Bernard Slade;Nächstes Jahr – gleiche Zeit;Luisa Brandsdörfer;2006
Hessisches Landestheater Marburg;Bertolt Brecht;Baal;Stephan Suschke;2011
Hessisches Landestheater Marburg;Bertolt Brecht;Die heilige Johanna der Schlachthöfe;Mark Becker;2013
Hessisches Landestheater Marburg;Bertolt Brecht;Furcht und Elend des dritten Reiches;David Gerlach;2007
Hessisches Landestheater Marburg;Bertolt Brecht;Herr Puntila und sein Knecht Matti;Peter Radestock;2006
Hessisches Landestheater Marburg;Bertolt Brecht;Leben des Galilei;Stephan Suschke;2014
Hessisches Landestheater Marburg;Cornelia Funke;Herr der Diebe;David Gerlach;2007
Hessisches Landestheater Marburg;Dirk Laucke;Wir sind immer oben;Alexandra Säidow;2010
Hessisches Landestheater Marburg;Dorota Maslowska;Die Reiherkönigin;Annette Müller / Oda Zuschneid;2014
Hessisches Landestheater Marburg;Edward Albee;Wer hat Angst vor Virginia Woolf?;Karl-Georg Kayser;2007
Hessisches Landestheater Marburg;Euripides;Elektra;Christian Fries;2014
Hessisches Landestheater Marburg;Frank Wedekind;Frühlings Erwachen;Annette Müller;2015
Hessisches Landestheater Marburg;Franz Fühmann;Prometheus;Hans-J. Menzel;2011
Hessisches Landestheater Marburg;Franz Wittenbrink;Lust;Ekkehard Dennewitz;2007
Hessisches Landestheater Marburg;Georg Büchner / Tom Waits / Robert Wilson;Woyzeck;Matthias Faltz;2014
Hessisches Landestheater Marburg;Gerhart Hauptmann;Der Biberpelz;Marc Wortel;2013
Hessisches Landestheater Marburg;Gotthold Ephraim Lessing;Emilia Galotti;Karl Georg Kayser;2007
Hessisches Landestheater Marburg;Grazia Verasani;From Medea;Ekkehard Dennewitz;2006
Hessisches Landestheater Marburg;Hans Christian Andersen;Der Soldat und das Feuerzeug;Ekkehard Dennewitz;2006
Hessisches Landestheater Marburg;Heinrich von Kleist;Michal Kohlhaas;Matthias Faltz;2013
Hessisches Landestheater Marburg;Henrik Ibsen;Ein Volksfeind;Amina Gusner;2015
Hessisches Landestheater Marburg;Jean-Paul Sartre;Die Fliegen;Ekkehard Dennewitz;2008
Hessisches Landestheater Marburg;Jean-Paul Sartre;Die schmutzigen Hände;André Rößler;2010
Hessisches Landestheater Marburg;Lars Reichow;Nacht und Träume;Lars Reichow;2011
Hessisches Landestheater Marburg;Mary Shelley;Frankenstein;Max Merker;2013
Hessisches Landestheater Marburg;Michael Ende;Momo;Annette Müller / Oda Zuschneid;2013
Hessisches Landestheater Marburg;Michael Ende;Traumfresserchen;Rachel Altmann;2006
Hessisches Landestheater Marburg;Miguel de Cervantes;Don Quijote;Fabian Sattler;2011
Hessisches Landestheater Marburg;Molière;Der Geizige;Marc Becker;2014
Hessisches Landestheater Marburg;Molière;Don Juan;Matthias Faltz;2011
Hessisches Landestheater Marburg;Molière;Tartuffe;Peter Radestock;2007
Hessisches Landestheater Marburg;Neil LaBute;Fettes Schwein;Gerald Gluth;2014
Hessisches Landestheater Marburg;Nikolai Erdman;Der Selbstmörder;Hansjörg Betschart;2010
Hessisches Landestheater Marburg;Oliver Kluck;Warteraum Zukunft;André Rößler;2014
Hessisches Landestheater Marburg;Peter Turrini;Josef und Maria;Manfred Gorr;2006
Hessisches Landestheater Marburg;Rainer Werner Fassbinder;Warum läuft Herr R. Amok?;Christian Fries;2013
Hessisches Landestheater Marburg;Rebekka Kricheldorf;Die Ballade vom Nadelbaumkiller;Dominique Schnizer;2015
Hessisches Landestheater Marburg;Theodor Fontane;Effi Briest;Kerstin Weiß;2010
Hessisches Landestheater Marburg;Theresia Walser;Wandernutten;Ekkehard Dennewitz;2007
Hessisches Landestheater Marburg;Tom Stoppard;Every good Boy;Marc Wortel;2011
Hessisches Landestheater Marburg;Ulf Stark;Der Engel und das blaue Pferd;Michael Kloss;2007
Hessisches Landestheater Marburg;Wilhelm Hauff;Das kalte Herz;David Gerlach;2007
Hessisches Landestheater Marburg;William S. Burroughs / Tom Waits / Robert Wilson;The Black Rider;Matthias Faltz;2010
Hessisches Landestheater Marburg;William Shakespeare;Der Sturm;Veit Kessel;2010
Hessisches Landestheater Marburg;William Shakespeare;Die lustigen Weiber von Windsor;Peter Radestock;2008
Hessisches Landestheater Marburg;William Shakespeare;Ein Sommernachtstraum;Gerald Gluth;2014
Hessisches Landestheater Marburg;William Shakespeare;Hamlet;Gerald Gluth;2010
Hessisches Landestheater Marburg;William Shakespeare;Was ihr wollt;Peter Radestock;2007
Hessisches Staatstheater Wiesbaden;Aischylos;Die Schutzflehenden;Rainer Fiedler;2015
Hessisches Staatstheater Wiesbaden;Alan Ayckbourn;Die Bessere Hälfte;Caroline Stolz;2014
Hessisches Staatstheater Wiesbaden;Alban Berg;Lulu;Marc Piollet / Manfred Beilharz;2009
Hessisches Staatstheater Wiesbaden;Alfred Hitchcock / Patrick Barlow;Die 39 Stufen;Caroline Stolz;2008
Hessisches Staatstheater Wiesbaden;Andrew Lloyd Webber;Evita;Pascale-Sabine Chevroton;2013
Hessisches Staatstheater Wiesbaden;Andri Beyeler;Die Kuh Rosmarie;Franziska Werner;2014
Hessisches Staatstheater Wiesbaden;Anthony Burgess;A Clockwork Orange;Tobias Materna;2007
Hessisches Staatstheater Wiesbaden;Anton Tschechow;Onkel Wanja;Ingo Kerkhoff;2015
Hessisches Staatstheater Wiesbaden;Astrid Lindgren;Mio, mein Mio;Aurelina Bücher;2016
Hessisches Staatstheater Wiesbaden;Ayad Akhtar;Geächtet;Bernd Mottl;2016
Hessisches Staatstheater Wiesbaden;Benjamin Britten;The Turn of the Screw;Robert Carsen;2015
Hessisches Staatstheater Wiesbaden;Benny Andersson;Siegertypen (Der Läufer);Alexandra Säidow;2008
Hessisches Staatstheater Wiesbaden;Bernd Zimmermann;Die Soldaten;Zsolt Hamar / Vasily Barkhatov;2016
Hessisches Staatstheater Wiesbaden;Bertolt Brecht;Der gute Mensch von Sezuan;Ricarda Beilharz;2011
Hessisches Staatstheater Wiesbaden;Bertolt Brecht;Herr Puntila und sein Knecht Matti;Manfred Beilharz;2008
Hessisches Staatstheater Wiesbaden;Bertolt Brecht / Kurt Weill;Die Dreigroschenoper;Thorleifur Örn Arnarsson;2014
Hessisches Staatstheater Wiesbaden;Bertolt Brecht / Paul Dessau;Mutter Courage und ihre Kinder;Thorleifur Örn Arnarsson;2016
Hessisches Staatstheater Wiesbaden;Bettina Erasmy;Das wollt ihr nicht wirklich;Tilman Gersch;2010
Hessisches Staatstheater Wiesbaden;Biljana Srbljanović;Heuschrecken;Slobodan Unkovski;2007
Hessisches Staatstheater Wiesbaden;Carl Maria von Weber;Der Freischütz;Dietrich Hilsdorf;2008
Hessisches Staatstheater Wiesbaden;Carlo Goldoni;Der Diener zweier Herren;Omri Nitzan;2014
Hessisches Staatstheater Wiesbaden;Carlos Murillo;Die Kinder bleiben;Johanna Wehner;2015
Hessisches Staatstheater Wiesbaden;Carl Sternheim;Bürger Schippel;Alexander Lang;2007
Hessisches Staatstheater Wiesbaden;Cesare Lievi;Fremde im Haus;Cesare Lievi;2007
Hessisches Staatstheater Wiesbaden;Charles Dickens / Martin Baltscheit;Scrooge;Elisabeth Gabriel;2014
Hessisches Staatstheater Wiesbaden;Charles Gounod;Faust;Marc Piollet / Andras Fricsay;2007
Hessisches Staatstheater Wiesbaden;Charlotte Link;Sechs Jahre;Clemens Bechtel;2015
Hessisches Staatstheater Wiesbaden;Chris Pichler;Marilyn;Chris Pichler;2015
Hessisches Staatstheater Wiesbaden;Chris Pichler;Romy Schneider;Chris Pichler;2014
Hessisches Staatstheater Wiesbaden;Christoph Willibald Gluck;Orfeo ed Euridice;Cornelius Heine;2007
Hessisches Staatstheater Wiesbaden;Christoph Willibald Gluck;Orpheus und Eurydike;Konrad Junghänel / Ingo Kerkhof;2015
Hessisches Staatstheater Wiesbaden;Clemens Bechtel;Die Träume der Armen – Die Ängste der Reichen;Clemens Bechtel;2014
Hessisches Staatstheater Wiesbaden;Cole Porter;Anything goes;Iris Limbarth;2008
Hessisches Staatstheater Wiesbaden;Cornelia Funke;Die Glücksfee;Oliver Wronka;2011
Hessisches Staatstheater Wiesbaden;Cy Coleman;Sweet Charity;Iris Limbarth;2010
Hessisches Staatstheater Wiesbaden;Dagmar Borrmann;Erbgut;Harald Demmer;2009
Hessisches Staatstheater Wiesbaden;Dea Loher;Das letzte Feuer;Tilman Gersch;2008
Hessisches Staatstheater Wiesbaden;Domenico Scarlatti;Die Irrungen der Liebe;Christian Rohrbach / Peer Boysen;2015
Hessisches Staatstheater Wiesbaden;Elfriede Jelinek;Rein Gold;Tina Lanik;2014
Hessisches Staatstheater Wiesbaden;Ensemble Phorminx;Nah und doch so fern;Ernst August Klötzke;2010
Hessisches Staatstheater Wiesbaden;Eric Bogosian;Pounding Nails in the Floor with my Forehead;Donald Berkenhoff;2014
Hessisches Staatstheater Wiesbaden;Esther Rölz;Hide & seek;Stefan Schletter;2011
Hessisches Staatstheater Wiesbaden;"Eugen d’Albert";Tiefland;Fabrizio Ventura / Manfred Beilharz;2007
Hessisches Staatstheater Wiesbaden;Eugene O'Neill;Eines langen Tages reise in die Nacht;Dietrich Hilsdorf;2008
Hessisches Staatstheater Wiesbaden;Ferdinand Bruckner;Krankheit der Jugend;Hermann Schmidt-Rahmer;2011
Hessisches Staatstheater Wiesbaden;Florian David Fitz;Vincent will Meer;Dirk Schirdewan;2014
Hessisches Staatstheater Wiesbaden;Francesco Cavalli;La Calisto;Sébastien Rouland / Teresa Reiber;2014
Hessisches Staatstheater Wiesbaden;Francis Poulenc / Bela Bartók;Die menschliche Stimme / Herzog Blaubarts Burg;Thorleifur Örn Arnarsson / Uwe Eric Laufenberg;2015
Hessisches Staatstheater Wiesbaden;Franz Grillparzer;Die Jüdin von Toledo;Konstanze Lauterbach;2007
Hessisches Staatstheater Wiesbaden;Franz Lehár;Der Graf von Luxemburg;Robert Lehmeier / Daniela Musca;2015
Hessisches Staatstheater Wiesbaden;Friedrich Schiller;Die Räuber;Ricarda Beilharz;2009
Hessisches Staatstheater Wiesbaden;Friedrich Schiller;Maria Stuart;Manfred Beilharz / Dietrich Hilsdorf;2007
Hessisches Staatstheater Wiesbaden;Gaetano Donizetti;Der Liebestrank;Jim Lucassen;2016
Hessisches Staatstheater Wiesbaden;Gaetano Donizetti;Viva la Mamma!;Markus Bothe;2009
Hessisches Staatstheater Wiesbaden;Georg Friedrich Händel;Julius Caesar;Markus Bothe;2007
Hessisches Staatstheater Wiesbaden;Giacomo Puccini;La Bohème;Thorleifur Örn Arnarsson / Zsolt Hamar;2014
Hessisches Staatstheater Wiesbaden;Gioachino Rossini;Der Barbier von Sevilla;Marc Piollet / Michiel Dijkema;2011
Hessisches Staatstheater Wiesbaden;Giuseppe Verdi;Die Krönung der Poppea;Markus Bothe / Samuel Bächli;2010
Hessisches Staatstheater Wiesbaden;Giuseppe Verdi;Don Carlos;Marc Piollet / Dietrich Hilsdorf;2006
Hessisches Staatstheater Wiesbaden;Giuseppe Verdi;La Traviata;Zsolt Hamar / Nicolas Brieger;2015
Hessisches Staatstheater Wiesbaden;Giuseppe Verdi;Luisa Miller;Wolfgang Ott / Immo Karaman;2010
Hessisches Staatstheater Wiesbaden;Giuseppe Verdi;Otello;Uwe Eric Laufenberg / Leo McFall;2015
Hessisches Staatstheater Wiesbaden;Gottfried Greiffenhagen / Franz Wittenbrink;Die Comedian Harmonists;Peter Hailer;2007
Hessisches Staatstheater Wiesbaden;Gotthold Ephraim Lessing;Nathan der Weise;Tilman Gersch;2007
Hessisches Staatstheater Wiesbaden;Hal Foster;Prinz Eisenherz;Herbert Fritsch;2011
Hessisches Staatstheater Wiesbaden;Hans Christian Andersen;Die Schneekönigin;Oliver Wronka / Stefan Schletter;2010
Hessisches Staatstheater Wiesbaden;Hans Weingartner;Die fetten Jahre sind vorbei;Sebastian Wirnitzer;2015
Hessisches Staatstheater Wiesbaden;Hans Werner Henze;Elegie für junge Liebende;Zsolt Hamar / Dietrich Hilsdorff;2014
Hessisches Staatstheater Wiesbaden;Harry Warren;42nd Street;Frank Bangert / Iris Limbarth;2013
Hessisches Staatstheater Wiesbaden;Heinrich von Kleist;Die Familie Schroffenstein;Tilman Gersch;2008
Hessisches Staatstheater Wiesbaden;Helmut Oehring;AGOTA?;Peter Rundel / Ingo Kerkhof;2016
Hessisches Staatstheater Wiesbaden;Henning Mankell;Der gewissenlose Mörder;Isabel Osthues;2010
Hessisches Staatstheater Wiesbaden;Henrik Ibsen;Baumeister Solness;Ingo Kerkhof;2014
Hessisches Staatstheater Wiesbaden;Henrik Ibsen;Hedda Gabler;Uwe Eric Laufenberg;2016
Hessisches Staatstheater Wiesbaden;Henrik Ibsen;Nora;David Mouchtar-Samorai;2008
Hessisches Staatstheater Wiesbaden;Henrik Ibsen;Peer Gynt;Thorleifur Örn Arnarsson;2014
Hessisches Staatstheater Wiesbaden;Inèz Derksen;King A;Stefan Schletter;2007
Hessisches Staatstheater Wiesbaden;Ingeborg von Zadow;Pompinien;Matthias Faltz;2009
Hessisches Staatstheater Wiesbaden;Jaan Tätte;Elchtest;Beat Fäh;2006
Hessisches Staatstheater Wiesbaden;Jacques Offenbach;Hoffmanns Erzählungen;Wolfgang Ott;2008
Hessisches Staatstheater Wiesbaden;Jason Robert Brown / Anthony McCarten;Superhero;Carsten Kochan;2014
Hessisches Staatstheater Wiesbaden;Jeton Neziraj;Peer Gynt aus dem Kosovo;Stefan Schletter;2014
Hessisches Staatstheater Wiesbaden;Johann Wolfgang von Goethe;Clavigo;Hakan S.Mican;2015
Hessisches Staatstheater Wiesbaden;Johann Wolfgang von Goethe;Die Leiden des jungen Werther;Tobias Materna;2006
Hessisches Staatstheater Wiesbaden;Johann Wolfgang von Goethe;Die Wahlverwandtschaften;Tobias Materna;2007
Hessisches Staatstheater Wiesbaden;Johann Wolfgang von Goethe;Stella;Stephan Seidel;2011
Hessisches Staatstheater Wiesbaden;John von Düffel;Weltkrieg für alle;Tobias Materna;2014
Hessisches Staatstheater Wiesbaden;Jonas Lüscher;Frühling der Barbaren;Ulrike Arnold;2014
Hessisches Staatstheater Wiesbaden;Jörg Graser;Jailhouse Blues;André Rößler;2009
Hessisches Staatstheater Wiesbaden;Juan Mayorga;Der Junge in der Tür;Julia Wissert;2014
Hessisches Staatstheater Wiesbaden;Jules Massenet;Werther;Wolfgang Ott / Konstanze Lauterbach;2008
Hessisches Staatstheater Wiesbaden;Leonard Bernstein;Candide;Albert Horne / Bernd Mottl;2014
Hessisches Staatstheater Wiesbaden;Lewis Carroll / Roland Schimmelpfennig;Alice im Wunderland;Herbert Wandschneider;2009
Hessisches Staatstheater Wiesbaden;Lillian Hellman;Puppenstube;Tilo Nest;2016
Hessisches Staatstheater Wiesbaden;Lukas Bärfuss;Die Probe;Tobias Materna;2007
Hessisches Staatstheater Wiesbaden;Matthias Faltz / August Klötzke;Von Einem, der auszog, das Fürchten zu lernen;Michael Miensopust;2007
Hessisches Staatstheater Wiesbaden;Matthias Faltz / August Klötzke;Von Einem, der auszog, das Fürchten zu lernen;Michael Miensopust;2008
Hessisches Staatstheater Wiesbaden;Maxim Gorki;Die Letzten;Markus Dietz;2013
Hessisches Staatstheater Wiesbaden;Michael Drucker;Patrick Anderthalb;Irina Ries;2016
Hessisches Staatstheater Wiesbaden;Michael Ende;Der satanarchäolügenialkohöllische Wunschpunsch;Christian Bronder;2011
Hessisches Staatstheater Wiesbaden;Modest Mussorgski;Boris Godunow;Christian Sedelmayer / Zsolt Hamar;2016
Hessisches Staatstheater Wiesbaden;Molière;Der Geizige;Patricia Benecke;2015
Hessisches Staatstheater Wiesbaden;Nis-Momme Stockmann;Tod und Wiederauferstehung meiner Eltern in mir;Tilman Gersch;2014
Hessisches Staatstheater Wiesbaden;Noah Haidle;Mr. Marmalade;Isabel Osthues;2013
Hessisches Staatstheater Wiesbaden;Ödön von Horváth;Geschichten aus dem Wienerwald;Manfred Beilharz;2011
Hessisches Staatstheater Wiesbaden;Oscar Wilde;Der ideale Ehemann;Tilo Nest;2014
Hessisches Staatstheater Wiesbaden;Paulo Coelho;Der Alchimist;Theo Fransz;2006
Hessisches Staatstheater Wiesbaden;Paul Shipton;Die Wanze;Irina Ries;2015
Hessisches Staatstheater Wiesbaden;Peter Hacks;Amphitryon;Caroline Stolz;2013
Hessisches Staatstheater Wiesbaden;Peter Handke;Kaspar;Jan Philipp Gloger;2016
Hessisches Staatstheater Wiesbaden;Peter Lund;Hexe Hillary geht in die Oper;Iris Limbarth;2015
Hessisches Staatstheater Wiesbaden;Peter Stone;Sugar – Some like it hot;Michael Geyer / Iris Limbarth;2011
Hessisches Staatstheater Wiesbaden;Philipp Löhle;Nur das Gute;Jan Philipp Gloger;2015
Hessisches Staatstheater Wiesbaden;Pierre Beaumarchais;Figaro! Der tolle Tag;Tilman Gersch;2009
Hessisches Staatstheater Wiesbaden;Priska Janssens;Semiramis;Priska Janssens;2006
Hessisches Staatstheater Wiesbaden;Rainer Werner Fassbinder;Tropfen auf heisse Steine;Caroline Stolz;2007
Hessisches Staatstheater Wiesbaden;Ralph Benatzky;Im weißen Rößl;Ansgar Weigner;2006
Hessisches Staatstheater Wiesbaden;Richard Adler / Jerry Ross;The Pyjama Game;Joachim Braun / Frank Bangert / Andreas Karthäuser / Iris Limbarth;2010
Hessisches Staatstheater Wiesbaden;Richard Strauss;Der Rosenkavalier;Marc Piollet;2011
Hessisches Staatstheater Wiesbaden;Richard Strauss;Die Frau ohne Schatten;Uwe Eric Laufenberg / Zsolt Hamar;2014
Hessisches Staatstheater Wiesbaden;Richard Strauss;Salome;Marc Piollet / Manfred Beilharz;2008
Hessisches Staatstheater Wiesbaden;Richard Wagner;Der fliegende Holländer;Zsolt Hamar / Michiel Dijkema;2013
Hessisches Staatstheater Wiesbaden;Richard Wagner;Tristan und isolde;Marc Piollet / Dietrich Hilsdorf;2009
Hessisches Staatstheater Wiesbaden;Rodion Shchedrin;Lolita;Marc Piollet / Konstanze Lauterbach;2011
Hessisches Staatstheater Wiesbaden;Rupert Holmes;Das Geheimnis des Edwin Drood;Frank Bangert / Iris Limbarth;2014
Hessisches Staatstheater Wiesbaden;Sergei Prokofjew;Die Liebe zu den drei Orangen;Zsolt Hamar / Ansgar Weigner;2013
Hessisches Staatstheater Wiesbaden;Sławomir Mrożek;Tango;Joanna M.Lewicka;2008
Hessisches Staatstheater Wiesbaden;Sophokles / Bodo Wartke;König Ödipus;Caroline Stolz;2011
Hessisches Staatstheater Wiesbaden;Stefan Zweig / Thomas Jonigk;Ungeduld des Herzens;Tina Lanik;2016
Hessisches Staatstheater Wiesbaden;Tennessee Williams;Die Glasmenagerie;Caroline Stolz;2009
Hessisches Staatstheater Wiesbaden;Tennessee Williams;Die tätowierte Rose;Konstanze Lauterbach;2006
Hessisches Staatstheater Wiesbaden;Thomas Bernhard;Der Theatermacher;Anne Yasmin Hindi Attar;2010
Hessisches Staatstheater Wiesbaden;Thomas Jonigk;Kill the Bugger;Thomas Jonigk;2015
Hessisches Staatstheater Wiesbaden;Thomas Mann / John von Düffel;Buddenbrooks;Laufenberg;2015
Hessisches Staatstheater Wiesbaden;Tim Firth / Madness;Our House;Iris Limbarth;2015
Hessisches Staatstheater Wiesbaden;Tina Müller;Türkisch Gold;Iris Limbarth;2014
Hessisches Staatstheater Wiesbaden;Tracy Letts;Eine Familie;Ingo Kerkhof;2015
Hessisches Staatstheater Wiesbaden;Ulrich Hub;Nathans Kinder;Carsten Kochan;2015
Hessisches Staatstheater Wiesbaden;Uwe Tellkamp / John von Düffel;Der Turm;Tilman Gersch;2010
Hessisches Staatstheater Wiesbaden;Vincenzo Bellini;Norma;Will Humburg / Gabriele Rech;2015
Hessisches Staatstheater Wiesbaden;Werner Schwab;Volksvernichtung oder Meine Leber ist sinnlos;Tobias Materna;2010
Hessisches Staatstheater Wiesbaden;William S. Burroughs / Tom Waits / Robert Wilson;The Black Rider;Caroline Stolz;2010
Hessisches Staatstheater Wiesbaden;William Shakespeare;Ein Sommernachtstraum;Manfred Beilharz;2013
Hessisches Staatstheater Wiesbaden;William Shakespeare / Frank-Patrick Steckel;Antonius und Cleopatra;David Mouchtar-Samorai;2007
Hessisches Staatstheater Wiesbaden;William Shakespeare;Hamlet;Nicolas Brieger;2015
Hessisches Staatstheater Wiesbaden;William Shakespeare;Hamlet;Tilman Gersch;2006
Hessisches Staatstheater Wiesbaden;William Shakespeare;Macbeth;David Mouchtar-Samorai;2010
Hessisches Staatstheater Wiesbaden;William Shakespeare;Wie es euch gefällt;Schirin Khodadadian;2014
Hessisches Staatstheater Wiesbaden;Wolfgang Amadeus Mozart;Così fan tutte;Uwe Eric Laufenberg / Konrad Junghänel;2015
Hessisches Staatstheater Wiesbaden;Wolfgang Amadeus Mozart;Die Entführung aus dem Serail;Uwe Eric Laufenberg / Konrad Junghänel;2015
Hessisches Staatstheater Wiesbaden;Wolfgang Amadeus Mozart;Don Giovanni;Marc Piollet / Carlos Wagner;2008
Hessisches Staatstheater Wiesbaden;Wolfgang Amadeus Mozart;Idomeneo;Marc Piollet / Cesare Lievi;2006
Hessisches Staatstheater Wiesbaden;Wolfram Lotz;Die lächerliche Finsternis;Felicitas Braun;2015
Junges Theater Bonn;Antoine de Saint-Exupéry;Der kleine Prinz;Alexander Schilling;2014
Junges Theater Bonn;Erich Kästner / Marc Schubring / Wolfgang Adenberg;Emil und die Detektive;Andreas Lachnit;2010
Junges Theater Bonn;Michael Ende;Jim Knopf;Andreas Lachnit;2014
Junges Theater Bonn;Otfried Preußler;Krabat;Moritz Seibert;2010
Junges Theater Bonn;William Sutcliffe;The Wall – Auf der richtigen Seite;Moritz Seibert;2015
Junges Theater Göttingen;Ad de Bont;Mutter Afrika;Gernot Grünewald;2010
Junges Theater Göttingen;Andreas Döring;Die Verfassung;Andreas Döring;2008
Junges Theater Göttingen;Anton Tschechow;Die Möwe;Andreas Döring;2007
Junges Theater Göttingen;Arthur Miller;Tod eines Handlungsreisenden;Frank Abt;2011
Junges Theater Göttingen;Erich Maria Remarque / Nico Dietrich / Tobias Sosinka;Im Westen nichts neues;Nico Dietrich;2014
Junges Theater Göttingen;Friedrich Schiller;Die Räuber;Andreas Döring;2010
Junges Theater Göttingen;Georg Büchner;Woyzeck;Alexander Krebs;2011
Junges Theater Göttingen;Günter Grass / Mario Portmann;Katz und Maus;Nico Dietrich;2015
Junges Theater Göttingen;Igor Bauersima;norway.today;Peter Hilton Fliegel;2007
Junges Theater Göttingen;Marcus Romer;Crash Kids;Sebastian Stolz;2014
Junges Theater Göttingen;Oliver Kluck;Warteraum Zukunft;Alexander Krebs;2010
Junges Theater Göttingen;Theodor Storm;Die Regentrude;Tobias Sosinka;2015
Junges Theater Göttingen;Thomas Brussig;Helden wie wir;Nico Dietrich;2014
Junges Theater Göttingen;Ulrich Plenzdorf;Die neuen Leiden des jungen W.;Peter Hilton Fliegel;2008
Junges Theater Göttingen;Werner Schwab;Die Präsidentinnen;Gernot Grünewald;2011
Junges Theater Göttingen;Wolfgang Herrndorf / Robert Koall;Bilder Deiner grossen Liebe;Vanessa Gaby Wilcke;2015
Junges Theater Göttingen;Yasmina Reza;Drei mal Leben;Christine Hofer;2015
Junges Theater Leverkusen;Petra Wüllenweber;Netboy;Verena Sander;2015
Kleines Theater Bad Godesberg;Familie Malente;Das bisschen Spass muss sein;Dirk Voßberg / Knut Vanmarcke;2014
kleines theater - Kammerspiele Landshut;Ingrid Lausund;Hysterikon;Konstantin Moreth;2013
kleines theater - Kammerspiele Landshut;Michael Seyfried;Bank of Love;Michael Seyfried;2013
kleines theater - Kammerspiele Landshut;Moritz Rinke;Wir lieben und wissen nichts;Sven Grunert;2014
kleines theater - Kammerspiele Landshut;Rudolf Herfurtner;SpatzFritz;George Podt;2013
